kappa,FCR,rg,Prediction
0.029812493,0.89,33.6147356,Alta
0.028742927,0.63,31.83911324,Alta
0.031178854,0.62,31.03411674,Alta
0.031219104,0.47,29.35756922,Alta
0.033675151,0.81,31.79462433,Alta
0.030813305,0.61,30.59789658,Alta
0.033670872,0.83,32.71393061,Alta
0.027511405,0.92,32.18751192,Alta
0.037487542,0.81,33.17169905,Alta
0.027569696,0.71,31.31742477,Alta
0.032419706,1,31.17128849,Alta
0.039507004,0.92,31.14635229,Alta
0.030761302,0.93,32.79232502,Alta
0.036500612,0.57,29.48600769,Alta
0.033388206,0.79,32.91211128,Alta
0.054733561,0.56,33.51293087,Alta
0.045412563,0.9,32.19562531,Alta
0.055063024,0.61,28.98029089,Alta
0.041822392,0.97,30.54521084,Alta
0.041354347,0.75,33.61985207,Alta
0.043897878,0.86,30.40460587,Alta
0.052848347,0.32,29.1037941,Alta
0.046838562,0.79,29.92442846,Alta
0.046322286,0.7,31.34290695,Alta
0.053522317,0.36,27.92282104,Alta
0.034511131,0.59,29.62320805,Alta
0.046448184,0.91,32.98819304,Alta
0.047592286,0.86,29.9805069,Alta
0.041689025,0.96,30.59308529,Alta
0.054072563,0.66,29.03553963,Alta
0.054391494,0.89,32.84445763,Alta
0.063084554,0.24,29.48952198,Alta
0.057886166,0.88,32.83976555,Alta
0.062375037,0.95,33.50433111,Alta
0.071020342,0.37,32.36335278,Alta
0.049779747,0.99,30.10941982,Alta
0.054607695,0.72,33.27290535,Alta
0.057675552,0.95,33.37968111,Alta
0.06719951,0.43,32.88365841,Alta
0.055403752,0.7,30.4142046,Alta
0.065567495,0.93,32.80852318,Alta
0.066923479,0.54,28.51352215,Alta
0.059032001,0.36,28.11974525,Alta
0.06773833,0.84,32.47416019,Alta
0.072413923,0.86,33.73458385,Alta
0.066644937,0.68,32.68667221,Alta
0.058667906,0.87,29.48465824,Alta
0.072073059,0.64,29.70056534,Alta
0.077625521,0.3,29.50997829,Alta
0.051855896,0.82,30.38656235,Alta
0.064178418,0.4,29.48040009,Alta
0.077673096,0.83,32.72968769,Alta
0.070936894,0.92,30.82242489,Alta
0.054282004,0.89,29.16500092,Alta
0.083190765,0.66,30.72901011,Alta
0.082270823,0.36,26.89467907,Alta
0.085718192,0.33,31.20040894,Alta
0.085676756,0.57,32.2111845,Alta
0.085275538,0.81,29.6847868,Alta
0.085873656,0.55,32.39941597,Alta
0.069106432,0.85,31.35724306,Alta
0.085602708,0.52,31.10947609,Alta
0.078755651,0.53,29.08381939,Alta
0.092454627,0.28,30.8035183,Alta
0.093165398,0.58,32.41142988,Alta
0.073079713,0.58,27.86304474,Alta
0.066436633,0.62,31.57120705,Alta
0.093613904,0.35,28.67927551,Alta
0.081065472,0.59,30.52340508,Alta
0.089549635,0.56,30.08322716,Alta
0.081987668,0.59,30.62073231,Alta
0.061618462,0.99,30.74592113,Alta
0.097330369,0.56,32.14242458,Alta
0.096665222,0.79,31.14401817,Alta
0.076206274,0.76,30.38176537,Alta
0.096647106,0.59,32.21905231,Alta
0.089739949,0.41,29.47542191,Alta
0.088896941,0.66,33.8721633,Alta
0.101026863,0.37,29.03623104,Alta
0.069852589,0.99,30.7723546,Alta
0.099915616,0.82,30.39557934,Alta
0.098340891,0.41,28.26287746,Alta
0.083446003,0.86,30.19805908,Alta
0.085463908,0.39,30.57902336,Alta
0.108714167,0.92,33.14857006,Alta
0.111749016,0.52,31.12619877,Alta
0.112133492,0.43,31.56886339,Alta
0.084943276,0.81,29.75860596,Alta
0.090608925,0.68,32.09019661,Alta
0.101700701,0.93,29.03460026,Alta
0.09538357,0.31,28.22016716,Alta
0.117492314,0.34,28.5684967,Alta
0.116466016,0.36,31.18163586,Alta
0.106802925,0.86,28.48345757,Alta
0.096667293,0.98,31.45857334,Alta
0.093051963,0.59,30.33550262,Alta
0.116077606,0.21,28.23738575,Alta
0.087580614,0.95,29.99528885,Alta
0.124857869,0.43,29.7441721,Alta
0.103297297,0.89,29.6843195,Alta
0.129832264,0.35,28.71072769,Alta
0.116064914,0.31,28.74137163,Alta
0.136537623,0.77,33.49987984,Alta
0.121494401,0.3,30.03033161,Alta
0.119673908,0.41,29.73731995,Alta
0.108952649,0.72,30.79911709,Alta
0.13519286,0.53,29.57653522,Alta
0.132182464,0.42,30.30364513,Alta
0.123278026,0.52,32.07128763,Alta
0.124383014,0.3,30.67109108,Alta
0.113094445,0.4,31.20407104,Alta
0.105126947,0.41,29.48457718,Alta
0.133349899,0.51,28.65886211,Alta
0.145976022,0.9,28.87828827,Alta
0.142070383,0.82,30.11191845,Alta
0.115795758,0.55,32.36741543,Alta
0.111234404,0.67,28.97657156,Alta
0.14423652,0.3,28.87870789,Alta
0.114986409,0.6,29.11523819,Alta
