Construct,NaCl_0,NaCl_200,NaCl_400,NaCl_600,NaCl_800,NaCl_1000,NaCl_1500
1,1.743925076,1.918296393,2.180099613,2.505820954,2.74274175,2.766471526,2.816154211
2,0.758994652,0.798437877,0.852165983,0.915791802,0.958006681,0.976399038,0.923780469
3,0.814920813,0.795273962,0.763307652,0.770701178,0.807940539,0.81044701,0.793101525
4,0.736795266,0.736948418,0.773391968,0.763523454,0.79343927,0.771559839,0.730181909
5,0.704474005,0.749164863,0.795046975,0.85141367,0.954088459,0.990897309,0.900182434
6,0.778778235,0.825306073,0.855101313,0.892672422,0.927653233,0.987524806,1.014372844
8,1.676248509,1.83950722,2.121955934,2.447678458,2.755870352,2.90428299,2.946960347
9,1.056134129,1.126929417,1.439875795,1.657733598,1.784669121,1.812281029,1.845395995
10,0.848305125,0.900203572,0.941463738,1.082872857,1.216418693,1.257058496,1.285661242
11,0.828179885,0.85315544,0.903941121,0.944762499,0.981831196,1.04311428,1.062429444
12,1.785281717,1.974337341,2.160136765,2.481160448,2.714064352,2.778758506,2.720585193
13,0.70635872,0.7244153,0.837712385,1.003291609,1.110893155,1.198427998,1.167718138
14,0.739938387,0.809187853,0.880360541,0.969175556,1.081226353,1.134071674,1.211768846
15,0.75833836,0.773074602,0.85538127,0.884583104,0.988112662,1.012878986,1.049960025
17,0.779941827,0.758778225,0.799014509,0.802046904,0.863860853,0.902924109,0.882302251
18,0.846002586,0.869960501,0.901963923,0.965032583,1.026229717,1.057468444,1.129965653
19,0.718381237,0.75422974,0.825807865,0.877273536,0.946815867,0.99486861,0.990300115
20,0.725591765,0.770322995,0.789399349,0.882189883,0.934188955,0.96424815,1.022217806
21,0.815560062,0.814496169,0.834713123,0.899339683,1.016486975,1.066952363,1.078034209
22,0.752852371,0.771088352,0.843014138,0.891864776,0.979195533,1.00768044,1.03217691
23,1.185207712,1.333932427,1.689390485,1.993781657,2.357469763,2.397663838,2.303935189
24,0.782462825,0.837655755,0.975101561,1.130000768,1.218505244,1.294994503,1.264277593
25,0.932271004,1.022039723,1.119240324,1.24199405,1.406187494,1.51317055,1.55661738
26,0.70428521,0.743190052,0.820703971,0.972185688,1.10854934,1.204378469,1.227501263
27,0.764516948,0.781141295,0.860462613,0.913706306,0.943016451,0.941453492,0.965707363
28,0.85943785,0.900933176,1.037107219,1.199233692,1.446566356,1.575853851,1.573916768
29,0.776386334,0.770450169,0.779605835,0.795905108,0.846458369,0.902675042,0.855481751
30,0.715212884,0.741532942,0.800722789,0.860408303,0.951477356,0.995672824,1.031884513
31,0.98207066,1.011182646,1.102101612,1.154964843,1.288589289,1.36510374,1.390871992
32,0.658269635,0.666267793,0.675418209,0.682004951,0.756281632,0.749885394,0.766390494
33,0.703237908,0.691516645,0.733122808,0.734374291,0.795245986,0.782014521,0.788860832
34,0.857855568,0.876354405,0.926117564,0.998603762,1.057905758,1.092174059,1.125591934
36,0.884431488,0.927612483,1.091093421,1.423118426,1.556814771,1.589738958,1.416005491
37,0.911351105,0.927729042,0.912856593,0.929224126,0.976641926,0.961188551,0.947687972
38,0.914745667,0.958877611,1.00931887,1.085289358,1.184581885,1.237092381,1.210233241
39,0.818233162,0.842428352,0.928878252,0.994171044,1.120396453,1.164929371,1.153746573
40,0.882722005,0.934360991,1.010525903,1.088190815,1.19620561,1.260536786,1.314996813
41,0.715263184,0.716552901,0.750216133,0.808809308,0.870798237,0.889555864,0.864747074
42,0.691201039,0.743867181,0.812115248,0.892728915,0.968067039,1.026386362,1.087651647
43,0.591481698,0.631016616,0.664781651,0.714817909,0.777775129,0.779593761,0.780027255
44,0.938508945,0.994701451,1.026580321,1.082108528,1.22943957,1.266204434,1.181636598
45,0.88528207,0.883173151,0.885988513,0.898744923,0.947729722,0.968928041,0.940961017
46,0.824305051,0.864479156,0.903251133,0.974195978,1.067653476,1.100535804,1.114689433
47,1.014889408,1.083757942,1.197029808,1.301389666,1.503781583,1.607223928,1.567781709
48,0.813762634,0.840254425,0.908899543,0.954041836,1.025041869,1.060483773,1.056423569
49,0.689659455,0.721171296,0.689459507,0.716610157,0.708635645,0.717650766,0.713372714
50,1.003925515,1.098826463,1.133654796,1.156004031,1.380013857,1.331135232,1.298917579
51,0.794031151,0.830149802,0.898541749,0.966852587,1.073627276,1.108511863,1.12532404
52,1.00560867,1.050969553,1.122854705,1.203272277,1.357318747,1.436066505,1.373204889
