Construct,NaCl_0,NaCl_200,NaCl_400,NaCl_600,NaCl_800,NaCl_1000,NaCl_1500
1,1,1.10009984,1.250276126,1.438063436,1.563039474,1.576783562,1.605561038
2,1,1.050754075,1.122012913,1.205943306,1.287278399,1.312191471,1.240426683
3,1,0.977517042,0.939104719,0.948022079,0.971795301,0.97893307,0.956381858
4,1,1.005298398,1.04834549,1.036002387,1.074637034,1.04672107,0.989716416
5,1,1.06324693,1.127771557,1.207052564,1.316215588,1.367455413,1.240274722
6,1,1.060318954,1.097838135,1.146581266,1.148127734,1.222670328,1.255306583
8,1,1.097367747,1.266042146,1.460306233,1.60378886,1.690546814,1.715143954
9,1,1.067448652,1.363999437,1.57075316,1.679453981,1.705276758,1.736213423
10,1,1.061344573,1.10992452,1.276925392,1.465544979,1.514512176,1.548550004
11,1,1.030016189,1.091043499,1.140671438,1.15700201,1.227581348,1.250938802
12,1,1.104698273,1.207160229,1.390567482,1.494596159,1.531367706,1.495988541
13,1,1.025959593,1.185453623,1.421071629,1.525265263,1.646403225,1.602148633
14,1,1.093614746,1.189294222,1.308988609,1.453403909,1.524018354,1.629790315
15,1,1.019685345,1.127789272,1.163175629,1.294394524,1.328416642,1.376287764
17,1,0.972133079,1.02362977,1.02767134,1.088997634,1.138441489,1.10961553
18,1,1.026223873,1.065672671,1.135374028,1.197028345,1.234711995,1.318385728
19,1,1.050842117,1.148103912,1.219517011,1.275780602,1.342056206,1.334213279
20,1,1.060700424,1.089406959,1.215883773,1.280269634,1.321163143,1.4005195
21,1,0.999267509,1.02480621,1.103718068,1.306810609,1.370047065,1.38261324
22,1,1.026199554,1.12192318,1.183294514,1.294567321,1.331893271,1.364213212
23,1,1.125489833,1.425768345,1.682126396,1.96346541,1.997092137,1.9188009
24,1,1.07057032,1.246068669,1.444191524,1.520869723,1.616256701,1.578011696
25,1,1.096498854,1.200622215,1.332006116,1.48007981,1.592684368,1.638355903
26,1,1.056652389,1.166355525,1.382485822,1.549365885,1.684342535,1.714338918
27,1,1.022779348,1.126275023,1.195220928,1.230861334,1.228561725,1.260225523
28,1,1.047684775,1.204649495,1.392087688,1.685374256,1.834918048,1.833370054
29,1,0.993156444,1.006077747,1.027750533,1.127706088,1.202126874,1.139720734
30,1,1.037217636,1.119071902,1.201615047,1.284442486,1.345359603,1.389955643
31,1,1.029645741,1.122380055,1.176092393,1.317883172,1.396138474,1.423588659
32,1,1.011386103,1.026141615,1.0351155,1.175450795,1.163068446,1.19066958
33,1,0.982720216,1.043870298,1.046012053,1.214055515,1.191392049,1.202334033
34,1,1.020920668,1.078454012,1.157534767,1.241486445,1.274619922,1.311648
36,1,1.048603613,1.235031858,1.609518602,1.792082315,1.826929057,1.626068817
37,1,1.018726981,1.002833883,1.020033728,1.093502698,1.078380403,1.062855705
38,1,1.048203871,1.103960048,1.186645266,1.219324163,1.272786584,1.244668369
39,1,1.029573187,1.135405798,1.215102921,1.343650695,1.396093373,1.381962491
40,1,1.058779322,1.145055829,1.232589347,1.349906091,1.422581956,1.483923073
41,1,1.001473769,1.050843136,1.127553239,1.223318266,1.248226525,1.212133027
42,1,1.076017703,1.174398981,1.290580325,1.375806085,1.459876921,1.546378786
43,1,1.06733128,1.125724288,1.210890037,1.266347896,1.269213606,1.269778907
44,1,1.058368043,1.093367819,1.148261531,1.218866543,1.260206492,1.175553726
45,1,0.997591792,0.99987676,1.015221639,1.04874454,1.070239174,1.039897322
46,1,1.048788038,1.095679168,1.181803501,1.273058092,1.312130824,1.328935728
47,1,1.065049695,1.172514514,1.270832445,1.428801528,1.522880335,1.486337625
48,1,1.031163261,1.115426407,1.171983108,1.259537004,1.299843282,1.295501804
49,1,1.048371012,1.001518489,1.038177156,1.063412196,1.078162824,1.070919404
50,1,1.094740282,1.128515097,1.151901526,1.321900643,1.275869358,1.244246193
51,1,1.045352717,1.130754663,1.216342384,1.308075934,1.350753711,1.369108367
52,1,1.043326757,1.11386534,1.193110852,1.241322996,1.311696916,1.25656047
53,1,1.027966826,1.092970624,1.145670217,1.229844767,1.252964727,1.265558034
54,1,1.029099564,1.09668199,1.134755859,1.192347053,1.209867349,1.198133195
