,ij,Rij (nm),Rij_fit (nm)
0,2.0,0.6730965375900269,0.9235114627397297
1,3.0,0.9233345985412598,1.157063222690154
2,4.0,1.1447925567626953,1.3577779310862224
3,5.0,1.3445976972579956,1.5371461021158161
4,6.0,1.5273756980895996,1.7011536640590181
5,7.0,1.696469783782959,1.8533994251172785
6,8.0,1.8547860383987427,1.996251248117261
7,9.0,2.0043208599090576,2.1313675251933746
8,10.0,2.1465494632720947,2.259964427638367
9,11.0,2.28239369392395,2.382965916678567
10,12.0,2.412571907043457,2.5010939177663034
11,13.0,2.5378246307373047,2.614925511825696
12,14.0,2.6585705280303955,2.724930808597176
13,15.0,2.7751882076263428,2.831498935650259
14,16.0,2.887943744659424,2.9349564125126895
15,17.0,2.9974069595336914,3.0355804753767637
16,18.0,3.103794574737549,3.133608953976793
17,19.0,3.207578659057617,3.229247733802483
18,20.0,3.309108257293701,3.3226764893464833
19,21.0,3.4081053733825684,3.4140531549544093
20,22.0,3.5050883293151855,3.5035174578105583
21,23.0,3.5998566150665283,3.591193743265728
22,24.0,3.6927623748779297,3.6771932586982197
23,25.0,3.7838528156280518,3.761616017801129
24,26.0,3.873166084289551,3.844552335991847
25,27.0,3.960831642150879,3.92608410531549
26,28.0,4.046839237213135,4.006285861004952
27,29.0,4.131191730499268,4.085225679933512
28,30.0,4.213967800140381,4.162965942311802
29,31.0,4.295199871063232,4.239563981288177
30,32.0,4.375030517578125,4.315072640016388
31,33.0,4.453649520874023,4.389540751837931
32,34.0,4.5307512283325195,4.463013556188402
33,35.0,4.606555938720703,4.535533060460683
34,36.0,4.680888652801514,4.607138356184078
35,37.0,4.753889560699463,4.677865896390174
36,38.0,4.82574987411499,4.747749739845846
37,39.0,4.896306037902832,4.816821766875418
38,40.0,4.965810775756836,4.885111870717679
39,41.0,5.0342888832092285,4.9526481277308925
40,42.0,5.101686954498291,5.019456949240709
41,43.0,5.167912006378174,5.0855632173990575
42,44.0,5.233253479003906,5.150990407068863
43,45.0,5.297390460968018,5.2157606954556615
44,46.0,5.360642910003662,5.279895060961822
45,47.0,5.4230852127075195,5.343413372533249
46,48.0,5.4843268394470215,5.406334470595067
47,49.0,5.544213771820068,5.468676240526211
48,50.0,5.602886199951172,5.530455679498398
49,51.0,5.66060733795166,5.5916889573990565
50,52.0,5.717043876647949,5.652391472467151
51,53.0,5.772749900817871,5.712577902193273
52,54.0,5.826969146728516,5.772262249968539
53,55.0,5.88033390045166,5.831457887909258
54,56.0,5.931954383850098,5.89017759623448
55,57.0,5.982120037078857,5.948433599530292
56,58.0,6.030429840087891,6.006237600197145
57,59.0,6.077845096588135,6.063600809343664
58,60.0,6.123922348022461,6.120533975361731
59,61.0,6.168712615966797,6.177047410392509
60,62.0,6.213001251220703,6.233151014870981
61,63.0,6.256192207336426,6.288854300317165
62,64.0,6.299439430236816,6.3441664105250135
63,65.0,6.341160297393799,6.399096141284841
64,66.0,6.381706714630127,6.453651958761731
65,67.0,6.4211602210998535,6.507842016640398
66,68.0,6.459973335266113,6.561674172136465
67,69.0,6.497488498687744,6.615156000964594
68,70.0,6.532788276672363,6.66829481134554
69,71.0,6.566195487976074,6.721097657126646
70,72.0,6.600937366485596,6.7735713500835635
71,73.0,6.636732578277588,6.825722471464906
