,ij,Rij (nm),Rij_fit (nm)
0,2.0,0.6672179698944092,0.8777849918328361
1,3.0,0.9106931090354919,1.1023595880475812
2,4.0,1.125454068183899,1.295743018780359
3,5.0,1.3188207149505615,1.4688140231354956
4,6.0,1.4954322576522827,1.6272489888620272
5,7.0,1.6588375568389893,1.7744648550009448
6,8.0,1.8111225366592407,1.9127120950340577
7,9.0,1.9543416500091553,2.0435682333406744
8,10.0,2.0896263122558594,2.1681909967389306
9,11.0,2.218008518218994,2.2874605221257927
10,12.0,2.340214729309082,2.4020648982990456
11,13.0,2.45703387260437,2.5125544520028615
12,14.0,2.5692389011383057,2.6193777170166532
13,15.0,2.67726993560791,2.722906128735422
14,16.0,2.7817323207855225,2.823451491124507
15,17.0,2.8828125,2.9212786489131473
16,18.0,2.98100209236145,3.016614884498686
17,19.0,3.0766212940216064,3.109657020143635
18,20.0,3.1698191165924072,3.200576876509092
19,21.0,3.2609245777130127,3.2895255306681994
20,22.0,3.350076198577881,3.3766366819411537
21,23.0,3.4376394748687744,3.4620293443408867
22,24.0,3.5237269401550293,3.5458100236248655
23,25.0,3.6086478233337402,3.6280744948675907
24,26.0,3.69217848777771,3.708909266824436
25,27.0,3.7746694087982178,3.788392798139177
26,28.0,3.8560402393341064,3.866596515037612
27,29.0,3.9362878799438477,3.943585668808164
28,30.0,4.015462398529053,4.019420062920235
29,31.0,4.093541145324707,4.094154673263807
30,32.0,4.170383930206299,4.16784018014549
31,33.0,4.246177673339844,4.240523426948571
32,34.0,4.320979595184326,4.312247817472575
33,35.0,4.3948750495910645,4.383053661705108
34,36.0,4.46790075302124,4.452978477994379
35,37.0,4.540147304534912,4.522057258173216
36,38.0,4.61155891418457,4.59032270105136
37,39.0,4.682183742523193,4.657805418779659
38,40.0,4.751999855041504,4.724534119850017
39,41.0,4.821199893951416,4.79053577189198
40,42.0,4.8899078369140625,4.8558357469328834
41,43.0,4.957848072052002,4.920457951381538
42,44.0,5.025341033935547,4.984424942658555
43,45.0,5.091920852661133,5.0477580341163275
44,46.0,5.157843589782715,5.11047738965755
45,47.0,5.222862243652344,5.172602109264909
46,48.0,5.287093162536621,5.234150306489063
47,49.0,5.350506782531738,5.2951391788022475
48,50.0,5.413180351257324,5.35558507160603
49,51.0,5.475154876708984,5.415503536580659
50,52.0,5.536333084106445,5.474909384976987
51,53.0,5.596693992614746,5.533816736377821
52,54.0,5.656294822692871,5.592239063391788
53,55.0,5.715113162994385,5.6501892326878425
54,56.0,5.773012638092041,5.707679542730856
55,57.0,5.83048677444458,5.764721758537528
56,58.0,5.887016296386719,5.8213271437358625
57,59.0,5.943057060241699,5.877506490180163
58,60.0,5.998037338256836,5.933270145346064
59,61.0,6.052238464355469,5.988628037706137
60,62.0,6.105710029602051,6.043589700265494
61,63.0,6.158661365509033,6.098164292418256
62,64.0,6.210858345031738,6.152360620269348
63,65.0,6.262447357177734,6.206187155551611
64,66.0,6.313352584838867,6.259652053255385
65,67.0,6.363600730895996,6.312763168076322
66,68.0,6.413319110870361,6.36552806977704
67,69.0,6.462163925170898,6.417954057549238
68,70.0,6.510548114776611,6.470048173454805
69,71.0,6.558518886566162,6.521817215017263
70,72.0,6.606288909912109,6.5732677470284395
71,73.0,6.65358304977417,6.6244061126294635
72,74.0,6.700253963470459,6.675238443720002
73,75.0,6.7460551261901855,6.725770670744965
74,76.0,6.791726589202881,6.776008531903679
75,77.0,6.8372626304626465,6.825957581822765
76,78.0,6.882087707519531,6.875623199730469
77,79.0,6.925926208496094,6.9250105971671445
78,80.0,6.969719886779785,6.974124825263689
79,81.0,7.013261795043945,7.022970781617272
80,82.0,7.0566253662109375,7.071553216791291
81,83.0,7.09963321685791,7.119876740464434
82,84.0,7.142144203186035,7.1679458272517556
83,85.0,7.1844801902771,7.21576482221898
84,86.0,7.227112770080566,7.263337946109589
85,87.0,7.270076751708984,7.310669300302809
86,88.0,7.313326358795166,7.3577628715193
87,89.0,7.356705188751221,7.404622536290073
88,90.0,7.39979887008667,7.451252065203093
89,91.0,7.442434310913086,7.49765512694095
90,92.0,7.48386812210083,7.543835292122082
91,93.0,7.5229339599609375,7.589796036957095
92,94.0,7.5612874031066895,7.635540746731007
93,95.0,7.5989089012146,7.681072719121449
94,96.0,7.637269496917725,7.726395167362184
95,97.0,7.672701358795166,7.771511223260697
96,98.0,7.705812931060791,7.816423940078026
97,99.0,7.736731052398682,7.861136295278445
