,ij,Rij (nm),Rij_fit (nm)
0,2.0,0.6671835780143738,0.9028782602438501
1,3.0,0.911209762096405,1.1263941973516436
2,4.0,1.1264336109161377,1.317792151267865
3,5.0,1.319952130317688,1.4883779056530706
4,6.0,1.4963020086288452,1.6440238932132083
5,7.0,1.6592177152633667,1.7882527496649046
6,8.0,1.8107401132583618,1.9233779684474541
7,9.0,1.9529874324798584,2.0510173465940746
8,10.0,2.0872080326080322,2.172355685760327
9,11.0,2.2146449089050293,2.288292041715547
10,12.0,2.3360371589660645,2.399528129504503
11,13.0,2.452223062515259,2.506624331027564
12,14.0,2.5636606216430664,2.610036747761688
13,15.0,2.6707701683044434,2.710142603681048
14,16.0,2.774216651916504,2.807258190109746
15,17.0,2.8741273880004883,2.9016518691244486
16,18.0,2.9709513187408447,2.993553705375447
17,19.0,3.0650320053100586,3.0831627382876485
18,20.0,3.156500816345215,3.1706525658109386
19,21.0,3.2457919120788574,3.2561756961113475
20,22.0,3.332946538925171,3.33986698446703
21,23.0,3.4182698726654053,3.42184638029152
22,24.0,3.501923084259033,3.5022211465734903
23,25.0,3.584174871444702,3.5810876707035204
24,26.0,3.664940357208252,3.6585329551661303
25,27.0,3.74424409866333,3.7346358547659833
26,28.0,3.822059392929077,3.809468111229214
27,29.0,3.89846134185791,3.8830952243795327
28,30.0,3.9736270904541016,3.9555771904209696
29,31.0,4.047482490539551,4.026969131331856
30,32.0,4.119908332824707,4.0973218344075795
31,33.0,4.191262722015381,4.1666822171728315
32,34.0,4.261496067047119,4.235093729924565
33,35.0,4.330902576446533,4.302596705852576
34,36.0,4.3994550704956055,4.369228666860538
35,37.0,4.467072486877441,4.435024591761968
36,38.0,4.533908843994141,4.500017152367445
37,39.0,4.59974479675293,4.564236922047386
38,40.0,4.664631366729736,4.627712560599815
39,41.0,4.728696823120117,4.690470978637745
40,42.0,4.79203987121582,4.7525374842072345
41,43.0,4.854578971862793,4.813935913932482
42,44.0,4.916475772857666,4.874688750641345
43,45.0,4.977341651916504,4.934817229139332
44,46.0,5.037387847900391,4.994341431562045
45,47.0,5.096499919891357,5.05328037353623
46,48.0,5.154796123504639,5.111652082211408
47,49.0,5.212328910827637,5.16947366708188
48,50.0,5.269190788269043,5.22676138439824
49,51.0,5.325440883636475,5.2835306958647665
50,52.0,5.381307601928711,5.339796322231355
51,53.0,5.436556339263916,5.395572292313332
52,54.0,5.491265296936035,5.450871987907841
53,55.0,5.545467376708984,5.5057081850196585
54,56.0,5.598780155181885,5.560093091761062
55,57.0,5.651601314544678,5.614038383248449
56,58.0,5.703783988952637,5.667555233782066
57,59.0,5.755886077880859,5.720654346563396
58,60.0,5.807141304016113,5.773345981177038
59,61.0,5.857791900634766,5.825639979039581
60,62.0,5.908168315887451,5.877545786996635
61,63.0,5.957955360412598,5.929072479230369
62,64.0,6.007282733917236,5.980228777623331
63,65.0,6.056541442871094,6.031023070709709
64,66.0,6.105432987213135,6.081463431332125
65,67.0,6.153662204742432,6.131557633110654
66,68.0,6.201352119445801,6.181313165820414
67,69.0,6.2483062744140625,6.230737249765016
68,70.0,6.2950005531311035,6.279836849225007
69,71.0,6.341399192810059,6.328618685053159
70,72.0,6.387345314025879,6.377089246481936
71,73.0,6.432937145233154,6.42525480220268
72,74.0,6.477998733520508,6.473121410770725
73,75.0,6.5227251052856445,6.520694930386018
74,76.0,6.567073345184326,6.567981028094513
75,77.0,6.611130237579346,6.614985188451801
76,78.0,6.655725479125977,6.661712721686959
77,79.0,6.700953960418701,6.708168771401467
78,80.0,6.746776103973389,6.754358321835217
79,81.0,6.792398929595947,6.800286204729039
80,82.0,6.8375630378723145,6.845957105810851
81,83.0,6.8828043937683105,6.891375570930393
82,84.0,6.927905559539795,6.936546011865588
83,85.0,6.972518444061279,6.9814727118217945
84,86.0,7.01606559753418,7.026159830643605
85,87.0,7.058523654937744,7.070611409757378
86,88.0,7.09938383102417,7.114831376861337
87,89.0,7.1386399269104,7.158823550378875
88,90.0,7.176398754119873,7.202591643689476
89,91.0,7.212989330291748,7.246139269150783
90,92.0,7.249777793884277,7.28946994192422
91,93.0,7.286372184753418,7.332587083615855
92,94.0,7.322983741760254,7.375494025743267
93,95.0,7.35949182510376,7.418194013038508
94,96.0,7.39269495010376,7.460690206596561
95,97.0,7.423220634460449,7.502985686878029
96,98.0,7.457479953765869,7.545083456574249
97,99.0,7.489971160888672,7.586986443342465
