,ij,Rij (nm),Rij_fit (nm)
0,2.0,0.6688345670700073,0.8572049089614399
1,3.0,0.91496342420578,1.0827571831635106
2,4.0,1.1326122283935547,1.2779340943924704
3,5.0,1.3285506963729858,1.45324371345057
4,6.0,1.5077404975891113,1.6141908496411173
5,7.0,1.6733558177947998,1.7640992753406977
6,8.0,1.8278933763504028,1.9051635525388328
7,9.0,1.9733269214630127,2.038925254829999
8,10.0,2.11100435256958,2.1665177945960017
9,11.0,2.2419302463531494,2.2888042176114425
10,12.0,2.367141008377075,2.406460229109032
11,13.0,2.4872429370880127,2.5200269618440276
12,14.0,2.6027746200561523,2.629945986406313
13,15.0,2.714219808578491,2.736583377004332
14,16.0,2.8220832347869873,2.840246752824855
15,17.0,2.92655611038208,2.941197654338204
16,18.0,3.0281193256378174,3.0396607296871205
17,19.0,3.1267218589782715,3.1358306840711903
18,20.0,3.2228639125823975,3.2298776253820525
19,21.0,3.316856861114502,3.3219512374976095
20,22.0,3.4087038040161133,3.41218408165523
21,23.0,3.498706102371216,3.5006942392361178
22,24.0,3.5870096683502197,3.5875874501277334
23,25.0,3.673532724380493,3.6729588598483667
24,26.0,3.758493423461914,3.7568944597278575
25,27.0,3.842026948928833,3.8394722837463577
26,28.0,3.9241907596588135,3.920763410595972
27,29.0,4.005220413208008,4.000832808456416
28,30.0,4.085194110870361,4.079740051720627
29,31.0,4.1641998291015625,4.15753993268238
30,32.0,4.242227554321289,4.2342829864564635
31,33.0,4.319079875946045,4.310015943754449
32,34.0,4.394833564758301,4.384782123307963
33,35.0,4.469525337219238,4.458621773515134
34,36.0,4.543492317199707,4.531572371137465
35,37.0,4.616714000701904,4.603668883484687
36,38.0,4.689367294311523,4.674943999412986
37,39.0,4.761392116546631,4.745428333566064
38,40.0,4.832821846008301,4.815150607562361
39,41.0,4.903506755828857,4.884137811239736
40,42.0,4.97329568862915,4.952415346583624
41,43.0,5.0421977043151855,5.020007156564883
42,44.0,5.11033296585083,5.086935840782303
43,45.0,5.177779674530029,5.153222759529356
44,46.0,5.244572639465332,5.218888127674486
45,47.0,5.310674667358398,5.283951099551021
46,48.0,5.376023292541504,5.34842984588999
47,49.0,5.440842151641846,5.412341623691348
48,50.0,5.504960536956787,5.475702839812211
49,51.0,5.568098068237305,5.538529108951024
50,52.0,5.630434989929199,5.600835306621394
51,53.0,5.69202995300293,5.662635617636239
52,54.0,5.752835273742676,5.723943580560046
53,55.0,5.812885284423828,5.784772128532725
54,56.0,5.872208118438721,5.845133626821643
55,57.0,5.931170463562012,5.905039907417585
56,58.0,5.989651679992676,5.964502300955007
57,59.0,6.047536849975586,6.023531666205917
58,60.0,6.105071544647217,6.082138417369723
59,61.0,6.162397384643555,6.140332549357637
60,62.0,6.219269752502441,6.198123661249344
61,63.0,6.275540351867676,6.25552097808138
62,64.0,6.331408500671387,6.312533371110335
63,65.0,6.387156963348389,6.3691693766797846
64,66.0,6.442570209503174,6.425437213807086
65,67.0,6.49811315536499,6.481344800594922
66,68.0,6.553150653839111,6.536899769562472
67,69.0,6.607860565185547,6.592109481982105
68,70.0,6.6621479988098145,6.6469810412995685
69,71.0,6.716307163238525,6.701521305708472
70,72.0,6.7698588371276855,6.755736899943487
71,73.0,6.823102951049805,6.809634226350968
72,74.0,6.875699043273926,6.86321947529053
73,75.0,6.9281110763549805,6.916498634916482
74,76.0,6.980460166931152,6.969477500383857
75,77.0,7.032625675201416,7.022161682519985
76,78.0,7.084014415740967,7.074556615999167
77,79.0,7.134803771972656,7.1266675670549
78,80.0,7.185284614562988,7.178499640761349
79,81.0,7.235655307769775,7.230057787913165
80,82.0,7.285648822784424,7.2813468115305024
81,83.0,7.335715293884277,7.332371373013953
82,84.0,7.386023998260498,7.383135997972232
83,85.0,7.434883117675781,7.4336450817436726
84,86.0,7.482426643371582,7.48390289463105
85,87.0,7.5284833908081055,7.5339135868677465
86,88.0,7.5736083984375,7.583681193331991
87,89.0,7.619173526763916,7.633209638024642
88,90.0,7.663806438446045,7.682502738324908
89,91.0,7.708210468292236,7.7315642090373595
90,92.0,7.751283168792725,7.780397666242626
91,93.0,7.793605804443359,7.829006630963348
92,94.0,7.83450984954834,7.87739453265612
93,95.0,7.874297618865967,7.925564712539458
94,96.0,7.912940502166748,7.973520426767116
95,97.0,7.953323841094971,8.021264849455477
96,98.0,7.992190361022949,8.068801075573182
97,99.0,8.029328346252441,8.116132123700561
