,ij,Rij (nm),Rij_fit (nm)
0,2.0,0.6624650955200195,0.8584117436121811
1,3.0,0.9007813334465027,1.0720600600406993
2,4.0,1.1100560426712036,1.2551730492160924
3,5.0,1.2975962162017822,1.418483545326119
4,6.0,1.4679784774780273,1.5675704631459533
5,7.0,1.624840259552002,1.7057822479802116
6,8.0,1.7705624103546143,1.8353190007034605
7,9.0,1.906904697418213,1.9577198207548265
8,10.0,2.035315752029419,2.0741122545199224
9,11.0,2.156904697418213,2.185352165658382
10,12.0,2.272512197494507,2.2921077358616744
11,13.0,2.382952928543091,2.3949126966967325
12,14.0,2.4889156818389893,2.4942015547067133
13,15.0,2.590670108795166,2.5903337467810306
14,16.0,2.6890056133270264,2.6836107072621194
15,17.0,2.7841038703918457,2.7742882376764557
16,18.0,2.876366138458252,2.8625856708197395
17,19.0,2.9658076763153076,2.948692790963178
18,20.0,3.052748680114746,3.032775148167594
19,21.0,3.1372032165527344,3.1149782006017532
20,22.0,3.2193338871002197,3.1954305865364203
21,23.0,3.2993454933166504,3.2742467399126762
22,24.0,3.377295732498169,3.351529003840234
23,25.0,3.4533214569091797,3.4273693551948528
24,26.0,3.5276551246643066,3.501850824488786
25,27.0,3.600306987762451,3.5750486744472214
26,28.0,3.671509027481079,3.6470313856693135
27,29.0,3.7413482666015625,3.7178614866789186
28,30.0,3.8100180625915527,3.787596257424215
29,31.0,3.8775038719177246,3.856288329075241
30,32.0,3.9439339637756348,3.923986198242117
31,33.0,4.00929069519043,3.990734670104658
32,34.0,4.073643207550049,4.056575242127527
33,35.0,4.137144565582275,4.121546437832415
34,36.0,4.199828147888184,4.185684098362469
35,37.0,4.261795997619629,4.249021638195436
36,38.0,4.323046684265137,4.311590270259488
37,39.0,4.383666038513184,4.373419204818235
38,40.0,4.443594455718994,4.434535825772793
39,41.0,4.502936363220215,4.4949658474432646
40,42.0,4.561551570892334,4.554733454412492
41,43.0,4.619571208953857,4.613861426619983
42,44.0,4.676872730255127,4.672371251567267
43,45.0,4.733671188354492,4.730283225224171
44,46.0,4.78988790512085,4.787616542998708
45,47.0,4.845570087432861,4.844389381942936
46,48.0,4.900733947753906,4.900618975206929
47,49.0,4.955359935760498,4.956321679617551
48,50.0,5.0094709396362305,5.011513037143717
49,51.0,5.063114643096924,5.066207830911995
50,52.0,5.116284370422363,5.12042013635274
51,53.0,5.169110298156738,5.174163367985232
52,54.0,5.221476078033447,5.227450322288663
53,55.0,5.273586273193359,5.280293217052609
54,56.0,5.325369358062744,5.332703727554627
55,57.0,5.37701416015625,5.38469301987272
56,58.0,5.428252696990967,5.436271781605707
57,59.0,5.479209899902344,5.487450250244249
58,60.0,5.529819965362549,5.538238239408855
59,61.0,5.580089092254639,5.588645163148018
60,62.0,5.630095481872559,5.638680058469222
61,63.0,5.679744243621826,5.688351606257716
62,64.0,5.729042053222656,5.737668150722082
63,65.0,5.7780890464782715,5.786637717491683
64,66.0,5.826844692230225,5.835268030478703
65,67.0,5.875126838684082,5.883566527606491
66,68.0,5.923257350921631,5.931540375496169
67,69.0,5.971433639526367,5.979196483194767
68,70.0,6.0195841789245605,6.026541515020377
69,71.0,6.067793369293213,6.073581902592898
70,72.0,6.116235733032227,6.120323856112701
71,73.0,6.164525985717773,6.166773374944007
72,74.0,6.212983131408691,6.2129362575547615
73,75.0,6.261319637298584,6.258818110860247
74,76.0,6.309053421020508,6.3044243590136775
75,77.0,6.355800151824951,6.349760251683344
76,78.0,6.401242733001709,6.394830871852518
77,79.0,6.445464134216309,6.439641143175437
78,80.0,6.488826751708984,6.484195836919879
79,81.0,6.531540870666504,6.5284995785244435
80,82.0,6.5741777420043945,6.572556853796401
81,83.0,6.616777420043945,6.616372014773949
82,84.0,6.659875392913818,6.6599492852748385
83,85.0,6.702816009521484,6.703292766151718
84,86.0,6.745855331420898,6.746406440272908
85,87.0,6.788520336151123,6.789294177246009
86,88.0,6.8308258056640625,6.831959737900394
87,89.0,6.872937202453613,6.874406778543495
88,90.0,6.915107727050781,6.916638855004714
89,91.0,6.956243991851807,6.958659426479769
90,92.0,6.996377468109131,7.00047185918744
91,93.0,7.03622579574585,7.042079429849763
92,94.0,7.075341701507568,7.083485329006036
93,95.0,7.113347053527832,7.124692664170227
94,96.0,7.151287078857422,7.165704462840759
