,ij,Rij (nm),Rij_fit (nm)
0,2.0,0.6643997430801392,0.9279330506935778
1,3.0,0.9048783183097839,1.1539395312155112
2,4.0,1.1165192127227783,1.3469452307834173
3,5.0,1.3064101934432983,1.5186182710075342
4,6.0,1.479563593864441,1.6750059145123002
5,7.0,1.6393314599990845,1.8197295305116832
6,8.0,1.7884234189987183,1.9551641719994073
7,9.0,1.9285043478012085,2.082968742551881
8,10.0,2.061161756515503,2.2043569156042717
9,11.0,2.187251329421997,2.32024882923066
10,12.0,2.3077986240386963,2.43136207552907
11,13.0,2.423534631729126,2.5382692977031747
12,14.0,2.5351390838623047,2.641436265909935
13,15.0,2.6430509090423584,2.741247963872819
14,16.0,2.7475459575653076,2.8380270051862238
15,17.0,2.8489911556243896,2.9320469706311436
16,18.0,2.9476206302642822,3.0235422820149864
17,19.0,3.043583631515503,3.112715653349251
18,20.0,3.1371045112609863,3.1997438093172197
19,21.0,3.2282025814056396,3.284781939970248
20,22.0,3.3171494007110596,3.3679672174917124
21,23.0,3.4039969444274902,3.449421605931788
22,24.0,3.489025592803955,3.529254130450187
23,25.0,3.5722601413726807,3.607562728104506
24,26.0,3.6539134979248047,3.684435770910221
25,27.0,3.7339460849761963,3.7599533295110352
26,28.0,3.8125598430633545,3.8341882295564726
27,29.0,3.889720916748047,3.907206940941826
28,30.0,3.965571165084839,3.979070331176858
29,31.0,4.040048599243164,4.04983430745809
30,32.0,4.113342761993408,4.119550366928843
31,33.0,4.185420989990234,4.188266070700584
32,34.0,4.256390571594238,4.2560254541776485
33,35.0,4.3262858390808105,4.322869383857485
34,36.0,4.395081996917725,4.388835868911121
35,37.0,4.462937831878662,4.453960334366074
36,38.0,4.5298871994018555,4.518275861528896
37,39.0,4.595926761627197,4.581813400330937
38,40.0,4.661137104034424,4.644601957508897
39,41.0,4.725449085235596,4.706668763903034
40,42.0,4.788991928100586,4.768039423640984
41,43.0,4.851691246032715,4.828738047551388
42,44.0,4.913603782653809,4.888787372800876
43,45.0,4.974700927734375,4.948208870456553
44,46.0,5.035037517547607,5.007022842432801
45,47.0,5.09463357925415,5.065248509077199
46,48.0,5.153492450714111,5.122904088478607
47,49.0,5.211702823638916,5.180006868435264
48,50.0,5.26926326751709,5.236573271897587
49,51.0,5.326274394989014,5.292618916595541
50,52.0,5.382702350616455,5.3481586694708
51,53.0,5.438594818115234,5.403206696457242
52,54.0,5.493866443634033,5.457776508087223
53,55.0,5.548653602600098,5.511881001344227
54,56.0,5.602880001068115,5.5655324981332175
55,57.0,5.6565752029418945,5.618742780697357
56,58.0,5.709743022918701,5.671523124272614
57,59.0,5.76235294342041,5.723884327239426
58,60.0,5.814392566680908,5.775836739002312
59,61.0,5.865838050842285,5.827390285803524
60,62.0,5.916789531707764,5.878554494655087
61,63.0,5.967257976531982,5.929338515554432
62,64.0,6.01738977432251,5.979751142131923
63,65.0,6.067044258117676,6.029800830863666
64,66.0,6.1163716316223145,6.079495718969758
65,67.0,6.165303707122803,6.1288436411064335
66,68.0,6.2139201164245605,6.177852144950101
