,ij,Rij (nm),Rij_fit (nm)
0,2.0,0.6731895804405212,0.9105474334962897
1,3.0,0.9239267110824585,1.1427682489655018
2,4.0,1.1457220315933228,1.3426271370929341
3,5.0,1.345619559288025,1.5214213639568328
4,6.0,1.5282161235809326,1.6850430916903012
5,7.0,1.6971385478973389,1.8370379426747598
6,8.0,1.8551486730575562,1.979740497797706
7,9.0,2.0043227672576904,2.1147868551212468
8,10.0,2.146047353744507,2.243377483760392
9,11.0,2.281229019165039,2.3664248503804903
10,12.0,2.4106199741363525,2.484642204072056
11,13.0,2.5349628925323486,2.59859991113984
12,14.0,2.654848337173462,2.7087627760740443
13,15.0,2.770622491836548,2.815515660773034
14,16.0,2.882582426071167,2.919181603245829
15,17.0,2.991302013397217,3.0200349611221897
16,18.0,3.0970749855041504,3.1183111570044075
17,19.0,3.2000679969787598,3.214214043278637
18,20.0,3.3007583618164062,3.307921561949291
19,21.0,3.3989689350128174,3.3995901592859536
20,22.0,3.495114803314209,3.4893582751775214
21,23.0,3.5890557765960693,3.5773491341611523
22,24.0,3.681114435195923,3.663673002014052
23,25.0,3.7712693214416504,3.7484290281366115
24,26.0,3.8597066402435303,3.8317067632016486
25,27.0,3.9464569091796875,3.9135874195334113
26,28.0,4.0315937995910645,3.99414492569543
27,29.0,4.11495304107666,4.073446815002581
28,30.0,4.196857452392578,4.151554978908655
29,31.0,4.277237415313721,4.228526309617251
30,32.0,4.35636568069458,4.304413251235943
31,33.0,4.434378147125244,4.37926427492824
32,34.0,4.511051177978516,4.453124290518994
33,35.0,4.58653450012207,4.526035004662789
34,36.0,4.66057014465332,4.598035233834792
35,37.0,4.733591079711914,4.6691611789338126
36,38.0,4.8055419921875,4.739446667111697
37,39.0,4.876264572143555,4.808923365496544
38,40.0,4.9459309577941895,4.87762097071032
39,41.0,5.0142388343811035,4.945567377456504
40,42.0,5.0814056396484375,5.012788828941343
41,43.0,5.147183895111084,5.079310051470504
42,44.0,5.211943626403809,5.145154375213802
43,45.0,5.275777816772461,5.210343842840327
44,46.0,5.33869743347168,5.274899307483739
45,47.0,5.401031017303467,5.338840521294029
46,48.0,5.4622697830200195,5.40218621566061
47,49.0,5.522453784942627,5.464954174046673
48,50.0,5.58147668838501,5.527161298251702
49,51.0,5.639281749725342,5.58882366881425
50,52.0,5.696133613586426,5.649956600177519
51,53.0,5.752216815948486,5.710574691163468
52,54.0,5.807107925415039,5.770691871235149
53,55.0,5.861286163330078,5.830321442969922
54,56.0,5.914567947387695,5.889476121116952
55,57.0,5.967601299285889,5.948168068569585
56,58.0,6.019749164581299,6.006408929545931
57,59.0,6.0708489418029785,6.064209860238645
58,60.0,6.121271133422852,6.121581557166353
59,61.0,6.1707587242126465,6.178534283434462
60,62.0,6.219326972961426,6.2350778930911055
61,63.0,6.266927719116211,6.2912218537448314
62,64.0,6.313301086425781,6.346975267593626
63,65.0,6.358051300048828,6.402346890999861
64,66.0,6.401538372039795,6.45734515273248
65,67.0,6.444255352020264,6.511978170985928
66,68.0,6.486387729644775,6.566253769274812
67,69.0,6.527953624725342,6.620179491294006
68,70.0,6.568193435668945,6.673762614825453
69,71.0,6.607222557067871,6.727010164765583
70,72.0,6.644874095916748,6.779928925340496
71,73.0,6.677948951721191,6.832525451570101
