,ij,Rij (nm),Rij_fit (nm)
0,2.0,0.6646139025688171,0.9418764224271191
1,3.0,0.9052584767341614,1.1697439751368965
2,4.0,1.1171441078186035,1.3641232905550589
3,5.0,1.3073395490646362,1.5368761825167956
4,6.0,1.4807578325271606,1.6941447545303312
5,7.0,1.64059317111969,1.8396046271262416
6,8.0,1.7896673679351807,1.9756650740227548
7,9.0,1.9299346208572388,2.104008097490065
8,10.0,2.0628271102905273,2.2258637602033526
9,11.0,2.1890289783477783,2.3421642838869694
10,12.0,2.3095977306365967,2.453636445502309
11,13.0,2.4252688884735107,2.5608600450854793
12,14.0,2.536855697631836,2.6643065454480443
13,15.0,2.6448826789855957,2.764365537746433
14,16.0,2.7496743202209473,2.8613634205491145
15,17.0,2.8514294624328613,2.955576924254176
16,18.0,2.950423240661621,3.0472431212436706
17,19.0,3.0466322898864746,3.136566978376878
18,20.0,3.1403257846832275,3.2237271520944164
19,21.0,3.2315359115600586,3.3088805019926086
20,22.0,3.3204944133758545,3.3921656534550846
21,23.0,3.4072890281677246,3.473705843568541
22,24.0,3.4922549724578857,3.553611219229154
23,25.0,3.575394630432129,3.631980711194107
24,26.0,3.656938314437866,3.7089035760668363
25,27.0,3.736898899078369,3.7844606754958354
26,28.0,3.8155767917633057,3.8587255453941416
27,29.0,3.8929367065429688,3.9317652958766987
28,30.0,3.9691243171691895,4.003641373600111
29,31.0,4.044257640838623,4.074410211405223
30,32.0,4.11851167678833,4.144123785002553
31,33.0,4.191709995269775,4.212830092476843
32,34.0,4.263949871063232,4.280573569314693
33,35.0,4.335102081298828,4.347395449257617
34,36.0,4.405182361602783,4.413334079390688
35,37.0,4.47426176071167,4.478425196374919
36,38.0,4.54238748550415,4.542702169531037
37,39.0,4.609648704528809,4.606196215516347
38,40.0,4.675983905792236,4.66893658855443
39,41.0,4.741501808166504,4.730950749540653
40,42.0,4.806252956390381,4.79226451682508
41,43.0,4.870251178741455,4.852902201045203
42,44.0,4.933572292327881,4.912886726025947
43,45.0,4.996237277984619,4.9722397374692955
44,46.0,5.058138847351074,5.030981700909619
45,47.0,5.1192626953125,5.08913199020422
46,48.0,5.179503917694092,5.1467089676547735
47,49.0,5.23900842666626,5.203730056708376
48,50.0,5.297763347625732,5.260211808062302
49,51.0,5.355952739715576,5.316169959890412
50,52.0,5.413531303405762,5.3716194928185566
51,53.0,5.470460891723633,5.426574680198601
52,54.0,5.5265727043151855,5.481049134163949
53,55.0,5.581973552703857,5.53505584789181
54,56.0,5.6367011070251465,5.5886072344477045
55,57.0,5.690798759460449,5.641715162544492
56,58.0,5.74440336227417,5.6943909895106435
57,59.0,5.7975897789001465,5.746645591729769
58,60.0,5.850164890289307,5.798489392784814
59,61.0,5.902171611785889,5.8499323895152155
60,62.0,5.95379114151001,5.900984176173383
61,63.0,6.004948616027832,5.95165396684747
62,64.0,6.0557427406311035,6.0019506163003
63,65.0,6.105996608734131,6.05188263935926
64,66.0,6.155861854553223,6.101458228978616
65,67.0,6.205454349517822,6.150685273083781
66,68.0,6.254889488220215,6.199571370296619
67,69.0,6.304075717926025,6.248123844631404
68,70.0,6.352839946746826,6.296349759242723
69,71.0,6.401200771331787,6.344255929299124
70,72.0,6.449156284332275,6.391848934049573
71,73.0,6.496794700622559,6.439135128143841
72,74.0,6.544072151184082,6.486120652262485
73,75.0,6.590975761413574,6.53281144310729
74,76.0,6.637467861175537,6.579213242798613
75,77.0,6.683626174926758,6.625331607722184
76,78.0,6.729593276977539,6.671171916864305
77,79.0,6.7753777503967285,6.716739379671225
78,80.0,6.821009635925293,6.762039043465496
79,81.0,6.86649751663208,6.807075800449489
80,82.0,6.9118123054504395,6.851854394323887
81,83.0,6.956945896148682,6.896379426546693
82,84.0,7.001999855041504,6.94065536225642
83,85.0,7.0468621253967285,6.984686535881208
84,86.0,7.091457366943359,7.0284771564540485
85,87.0,7.135850429534912,7.072031312652718
86,88.0,7.179958820343018,7.115352977581683
87,89.0,7.223873615264893,7.158446013311969
88,90.0,7.267462730407715,7.201314175193802
89,91.0,7.310737133026123,7.2439611159558055
90,92.0,7.353959560394287,7.286390389603532
91,93.0,7.397049427032471,7.328605455129219
92,94.0,7.439919948577881,7.370609680043852
93,95.0,7.482736110687256,7.41240634374182
94,96.0,7.525279521942139,7.453998640707788
95,97.0,7.567497730255127,7.49538968357475
96,98.0,7.609333515167236,7.536582506041621
97,99.0,7.650718688964844,7.577580065658174
98,100.0,7.691469669342041,7.6183852464846655
99,101.0,7.731566905975342,7.659000861632936
100,102.0,7.771252632141113,7.6994296556954165
101,103.0,7.810518264770508,7.7396743070680385
102,104.0,7.849503517150879,7.779737430172629
103,105.0,7.888300895690918,7.819621577584108
104,106.0,7.926779747009277,7.859329242067399
105,107.0,7.964788913726807,7.898862858528705
106,108.0,8.002382278442383,7.938224805885539
107,109.0,8.039347648620605,7.977417408859575
108,110.0,8.075811386108398,8.016442939696203
109,111.0,8.112099647521973,8.05530361981443
110,112.0,8.1480073928833,8.094001621390527
111,113.0,8.183507919311523,8.13253906887866
112,114.0,8.218732833862305,8.170918040471564
113,115.0,8.253689765930176,8.209140569504086
114,116.0,8.28844165802002,8.247208645802363
115,117.0,8.323265075683594,8.28512421698114
116,118.0,8.357976913452148,8.322889189691672
117,119.0,8.392423629760742,8.360505430822503
118,120.0,8.426652908325195,8.397974768655256
119,121.0,8.460821151733398,8.435298993977495
120,122.0,8.495253562927246,8.472479861154603
121,123.0,8.529009819030762,8.509519089162483
122,124.0,8.562311172485352,8.546418362582845
123,125.0,8.595287322998047,8.58317933256272
124,126.0,8.628181457519531,8.619803617739736
125,127.0,8.661005020141602,8.656292805134687
126,128.0,8.693570137023926,8.69264845101275
127,129.0,8.72604751586914,8.728872081714732
128,130.0,8.757974624633789,8.76496519445956
129,131.0,8.790379524230957,8.800929258119295
130,132.0,8.82249641418457,8.83676571396773
131,133.0,8.854426383972168,8.872475976403736
132,134.0,8.885583877563477,8.908061433650353
133,135.0,8.91630744934082,8.943523448430614
134,136.0,8.946295738220215,8.97886335862107
135,137.0,8.976163864135742,9.014082477883862
136,138.0,9.006226539611816,9.04918209627827
137,139.0,9.03586196899414,9.084163480852455
138,140.0,9.0648775100708,9.119027876216256
139,141.0,9.092719078063965,9.153776505095731
140,142.0,9.120353698730469,9.18841056887017
141,143.0,9.147485733032227,9.222931248092236
142,144.0,9.175024032592773,9.25733970299191
143,145.0,9.202210426330566,9.291637073964806
144,146.0,9.229007720947266,9.325824482045489
145,147.0,9.254592895507812,9.359903029366336
146,148.0,9.278169631958008,9.393873799602472
147,149.0,9.301569938659668,9.427737858403312
148,150.0,9.32408618927002,9.461496253811175
149,151.0,9.347726821899414,9.495150016667468
150,152.0,9.37303352355957,9.52870016100687
151,153.0,9.401723861694336,9.562147684439953
152,154.0,9.429935455322266,9.595493568524647
153,155.0,9.457874298095703,9.62873877912696
154,156.0,9.487282752990723,9.661884266771315
155,157.0,9.516222953796387,9.694930966980868
