Construct,delta,Response,kappa,FCR,rg
IDRBS-001,0.605561037,High,0.125752006,0.060402685,31.80319969
IDRBS-002,0.240426683,Low,0.266,0.02,32.38999807
IDRBS-003,-0.043618142,Low,0.101655643,0.265060241,34.31879147
IDRBS-004,-0.010283584,Low,0.40819028,0.394366197,25.40192144
IDRBS-005,0.240274721,Low,0.129013509,0.28,29.36573505
IDRBS-006,0.255306583,Medium,0.300528914,0.32,30.71427345
IDRBS-008,0.715143954,High,0.213610649,0.378378378,24.76998056
IDRBS-009,0.736213423,High,0.179260381,0.14,47.23915887
IDRBS-010,0.548550004,High,0.25610669,0.285,36.24036893
IDRBS-011,0.250938802,Medium,0.25832805,0.351351351,24.94020975
IDRBS-012,0.495988541,Medium,0.198173143,0.37037037,19.2052252
IDRBS-013,0.602148633,High,0.22852236,0.085,43.72053091
IDRBS-014,0.629790315,High,0.168173932,0.27,32.96157598
IDRBS-015,0.376287764,Medium,0.29433462,0.271604938,27.29948902
IDRBS-017,0.10961553,Low,0.188492514,0.32,30.01271486
IDRBS-018,0.318385728,Medium,0.484767124,0.36,21.25102096
IDRBS-019,0.33421328,Medium,0.093755744,0.47027027,42.47971625
IDRBS-020,0.4005195,Medium,0.319642052,0.522875817,37.4829727
IDRBS-021,0.38261324,Medium,0.12971963,0.243243243,36.54325272
IDRBS-022,0.364213212,Medium,0.216449581,0.37,30.14610767
IDRBS-023,0.9188009,High,0.188666247,0.327868852,34.33173441
IDRBS-024,0.578011696,High,0.185845472,0.333333333,34.27605796
IDRBS-025,0.638355903,High,0.063990941,0.3,30.77318668
IDRBS-026,0.714338918,High,0.106289744,0.175,45.69850274
IDRBS-027,0.260225523,Medium,0.125234995,0.170731707,37.82290416
IDRBS-028,0.833370054,High,0.219475828,0.161538462,34.96095616
IDRBS-029,0.139720734,Low,0.212409414,0.333333333,33.07171561
IDRBS-030,0.389955643,Medium,0.324846551,0.38,30.90370178
IDRBS-031,0.423588659,Medium,0.323025912,0.28,21.44304537
IDRBS-032,0.19066958,Low,0.293149024,0.38,37.19638871
IDRBS-033,0.202334033,Low,0.205988444,0.306666667,38.82653913
IDRBS-034,0.311648,Medium,0.291378841,0.184615385,25.2779094
IDRBS-036,0.626068817,High,0.354285002,0.111111111,27.83815669
IDRBS-037,0.062855705,Low,0.205142654,0.344827586,21.82845575
IDRBS-038,0.244668369,Medium,0.175773486,0.2,29.27635193
IDRBS-039,0.38196249,Medium,0.208350345,0.16,28.74761581
IDRBS-040,0.483923074,Medium,0.136724889,0.272727273,26.44458304
IDRBS-041,0.212133027,Low,0.156801634,0.21,29.8338151
IDRBS-042,0.546378786,High,0.164205149,0.43,46.16323075
IDRBS-043,0.269778907,Medium,0.144181624,0.448648649,45.83824147
